changecenter,chancearea,target
1.0001710694731907,1.0016028261814027,0.0
1.0014541881126373,1.021831614681307,0.0
1.0006093544444736,1.0228931869954307,0.0
1.0007068707232378,1.0055988851315778,0.0
1.000423122849841,1.0200612056704585,0.0
1.0010398084405678,1.0392258203802414,0.0
1.000390804103238,1.0338981647593994,0.0
1.0002818988689204,1.0072959039974558,0.0
1.000897858575733,1.0302523420356737,0.0
1.0001367389061908,1.0537823569953277,0.0
1.0002443612416192,1.0055313690242444,0.0
1.000327664143072,1.0164024153960571,0.0
1.0005742196781537,1.0069584239370595,0.0
1.0012814951467266,1.0599556027281318,0.0
1.0007394517250185,1.0072856885012762,0.0
1.0004028030673329,1.0137619964673503,0.0
1.0005439967257583,1.019312801368366,0.0
1.000865163542708,1.013125030587143,0.0
1.000210838744914,1.0216351160838064,0.0
1.001246086595877,1.002295943084794,0.0
1.0011051178653734,1.001201178245973,0.0
1.0010058087206999,1.0001354487162402,0.0
1.0004655537449552,1.0252162742240951,0.0
1.0005896209308676,1.0047118456380244,0.0
1.0003367685008635,1.019082276226271,0.0
1.0016385007453437,1.054294161492016,0.0
1.0008010194194297,1.0213136297490808,0.0
1.0017664862471989,1.0033831899702037,0.0
1.001564143469421,1.0055471420315645,0.0
1.0014449767994313,1.0122990329655248,0.0
1.0002768483716025,1.004381932025693,0.0
1.0009845219039613,1.0019334083070397,0.0
1.000787847858648,1.0227408810566547,0.0
1.0012273701219128,1.0264691279388176,0.0
1.0013151329661092,1.0115853659355676,0.0
1.0011440160593463,1.0537318673454827,0.0
1.001786574007205,1.0361965399719093,0.0
1.000076868404442,1.0252292297787864,0.0
1.0013156269276733,1.0235312589782237,0.0
1.0006076183889503,1.0082315532998427,0.0
1.001936679405686,1.033233654821596,0.0
1.000985934743269,1.0143321087306305,0.0
1.0011573341968616,1.0455592603970199,0.0
1.0004432777667847,1.0062690769317015,0.0
1.000839016955159,1.0212106820538314,0.0
1.000721510398749,1.0044255273909979,0.0
1.0010636918695268,1.0020082116416553,0.0
1.0006257048782432,1.0010455300721075,0.0
1.0012061573492548,1.012451406873017,0.0
1.0007491501096233,1.0186082908623246,0.0
1.0010604123961862,1.0293782971649188,0.0
1.0008270046061694,1.0099925775263805,0.0
1.001646112937268,1.012649943048589,0.0
1.0018549315465002,1.003231834676314,0.0
1.0018610969210475,1.0368241750887974,0.0
1.0020647931748883,1.0722680054401887,0.0
1.0024636147700126,1.062892872235127,0.0
1.0015365042335924,1.0163728235041318,0.0
1.001205468317659,1.049529084398144,0.0
1.0020901949766292,1.0385152118414898,0.0
1.002214391896346,1.0397153616420123,0.0
1.0032812959217519,1.072527756897147,0.0
1.0030588029530292,1.0725424039310392,0.0
1.0026161150916577,1.0833727530850736,0.0
1.0009845044569672,1.0301177161711152,0.0
1.0032239354557193,1.0736901909696428,0.0
1.0017641997318023,1.0358130585750243,0.0
1.0020624541975764,1.0776569217914935,0.0
1.0006590053541942,1.000693502930569,0.0
1.0016582268972174,1.010278078882774,0.0
1.0010512327907584,1.0554581270180055,0.0
1.002581706210218,1.0575555579152136,0.0
1.00174160646471,1.0068868680061887,0.0
1.0021311375826372,1.0961503349953026,0.0
